name,href,role,profile_id
Pradeep sangwan,https://www.cricbuzz.com/profiles/1472/pradeep-sangwan,bench,1472
Rahmanullah gurbaz,https://www.cricbuzz.com/profiles/13213/rahmanullah-gurbaz,bench,13213
Sai sudharsan,https://www.cricbuzz.com/profiles/13866/sai-sudharsan,bench,13866
Yash dayal,https://www.cricbuzz.com/profiles/14172/yash-dayal,bench,14172
Noor ahmad,https://www.cricbuzz.com/profiles/15452/noor-ahmad,bench,15452
Ankit rajpoot,https://www.cricbuzz.com/profiles/8924/ankit-rajpoot,bench,8924
Karan sharma,https://www.cricbuzz.com/profiles/18738/karan-sharma,bench,18738
Mayank yadav,https://www.cricbuzz.com/profiles/22401/mayank-yadav,bench,22401
Romario shepherd,https://www.cricbuzz.com/profiles/13646/romario-shepherd,playing_11,13646
Ravikumar samarth,https://www.cricbuzz.com/profiles/9688/ravikumar-samarth,bench,9688
Shashank singh,https://www.cricbuzz.com/profiles/10919/shashank-singh,bench,10919
Fazalhaq farooqi,https://www.cricbuzz.com/profiles/14282/fazalhaq-farooqi,bench,14282
Saurabh dubey,https://www.cricbuzz.com/profiles/15766/saurabh-dubey,bench,15766
Rassie van der dussen,https://www.cricbuzz.com/profiles/9554/rassie-van-der-dussen,bench,9554
Daryl mitchell,https://www.cricbuzz.com/profiles/10713/daryl-mitchell,bench,10713
Obed mccoy,https://www.cricbuzz.com/profiles/11221/obed-mccoy,bench,11221
Tejas baroka,https://www.cricbuzz.com/profiles/12639/tejas-baroka,bench,12639
Anunay singh,https://www.cricbuzz.com/profiles/14049/anunay-singh,bench,14049
Kuldeep sen,https://www.cricbuzz.com/profiles/14336/kuldeep-sen,bench,14336
Dhruv jurel,https://www.cricbuzz.com/profiles/14691/dhruv-jurel,bench,14691
Shubham garhwal,https://www.cricbuzz.com/profiles/22471/shubham-garhwal,bench,22471
Dwaine pretorius,https://www.cricbuzz.com/profiles/8651/dwaine-pretorius,playing_11,8651
Alzarri joseph,https://www.cricbuzz.com/profiles/11220/alzarri-joseph,bench,11220
Kyle mayers,https://www.cricbuzz.com/profiles/8440/kyle-mayers,bench,8440
Mitchell marsh,https://www.cricbuzz.com/profiles/6250/mitchell-marsh,bench,6250
Aaron finch,https://www.cricbuzz.com/profiles/1643/aaron-finch,bench,1643
Sean abbott,https://www.cricbuzz.com/profiles/8136/sean-abbott,bench,8136
Harshit rana,https://www.cricbuzz.com/profiles/24729/harshit-rana,bench,24729
Matheesha pathirana,https://www.cricbuzz.com/profiles/16458/matheesha-pathirana,bench,16458
Kumar kartikeya,https://www.cricbuzz.com/profiles/14190/kumar-kartikeya,playing_11,14190
Tristan stubbs,https://www.cricbuzz.com/profiles/19243/tristan-stubbs,bench,19243
Sushant mishra,https://www.cricbuzz.com/profiles/14706/sushant-mishra,bench,14706
Akash madhwal,https://www.cricbuzz.com/profiles/15727/akash-madhwal,bench,15727
Corbin bosch,https://www.cricbuzz.com/profiles/9576/corbin-bosch,bench,9576
Joshua little,https://www.cricbuzz.com/profiles/11128/joshua-little,playing_11,11128
Mohit sharma,https://www.cricbuzz.com/profiles/8181/mohit-sharma,bench,8181
Urvil patel,https://www.cricbuzz.com/profiles/13476/urvil-patel,bench,13476
Shaik rasheed,https://www.cricbuzz.com/profiles/22571/shaik-rasheed,bench,22571
Nishant sindhu,https://www.cricbuzz.com/profiles/22576/nishant-sindhu,bench,22576
Ajay jadav mandal,https://www.cricbuzz.com/profiles/11777/ajay-jadav-mandal,bench,11777
Ashish nehra,https://www.cricbuzz.com/profiles/269/ashish-nehra,support_staff,269
Gary kirsten,https://www.cricbuzz.com/profiles/4601/gary-kirsten,support_staff,4601
Aashish kapoor,https://www.cricbuzz.com/profiles/3905/aashish-kapoor,support_staff,3905
Stephen fleming,https://www.cricbuzz.com/profiles/49/stephen-fleming,support_staff,49
Michael hussey,https://www.cricbuzz.com/profiles/4772/michael-hussey,support_staff,4772
Rajiv kumar,https://www.cricbuzz.com/profiles/42611/rajiv-kumar,support_staff,42611
Sikandar raza,https://www.cricbuzz.com/profiles/9354/sikandar-raza,playing_11,9354
Matthew short,https://www.cricbuzz.com/profiles/9456/matthew-short,bench,9456
Harpreet singh bhatia,https://www.cricbuzz.com/profiles/6322/harpreet-singh-bhatia,bench,6322
Vidhwath kaverappa,https://www.cricbuzz.com/profiles/13977/vidhwath-kaverappa,bench,13977
Mohit rathee,https://www.cricbuzz.com/profiles/36524/mohit-rathee,bench,36524
Shivam singh,https://www.cricbuzz.com/profiles/41295/shivam-singh,bench,41295
